TITULO,AUTOR,ARMARIO,PRATILEIRA
DEUS ESTAVA COM ELE,ELISA MASSELI,2,C
QUANDO O PASSADO N O PASSA,ELISA MASSELI,2,C
SEMPRE EXISTE UMA RAZ O,ELISA MASSELI,2,C
CORA  ES SEM DESTINO,ELIANA MACHADO COELHO,2,C
ELA CONFIOU NA VIDA,ZIBIA GASPARETTO - LUCIUS,5,C
FILHO ADOTIVO,VERA L CIA MARINZECK DE CARVALHO,5,A
ILUMINA  O INTERIOR,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
N O PISE NA BOLA,RICHARD SIMONETTI,4,B
PRONTU RIO DE ANDR  LUIZ,NEY DA SILVA PINHEIRO,3,E
P GINAS DE L ON DENIS,SYLVIO BRITO SOARES,4,D
ORAT RIA,THEREZINHA OLIVEIRA,4,E
MEDIUNIDADE AO SEU ALCANCE,CELSO MARTINS,1,E
ENTENDENDO O ESPIRITSMO,AUTORES DIVERSOS,5,C
"QUEM SABE PODE MUITO, QUEM AMA PODE MAIS",WANDERLEY SOARES DE OLIVEIRA - JOS  M RIO,4,E
PARA SEMPRE COMIGO,MARCELO CEZAR - MARCO AUR LIO,4,A
S  DEUS SABE,MARCELO CEZAR - MARCO AUR LIO,4,A
LEVANTA-TE,RICHARD SIMONETTI,4,B
CABOCLA,VERA L CIA MARINZECK DE CARVALHO,5,A
SA DE MENTAL A LUZ DO EVANGELHO,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
RESPOSTAS DA VIDA,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,2,E
VOZES DO ESP RITO,CARLOS AUGUSTO ABRANCHES,1,D
ALMA DE MINHA ALMA,MARIA GERTRUDES,4,C
OS OBSESSORES,HERM NIO CORR A DE MIRANDA - PEDRO CAMILO,3,B
A TAREFA DOS ENXOVAIS,HERM NIO C. MIRANDA - ORSON PETER CARRARA,3,B
A MEM RIA E O TEMPO,HERM NIO CORR A DE MIRANDA,3,B
EVANGELIZA  O DE ESP RITOS,COL GIO ALLAN KARDEC,5,C
QUANDO O AMOR VAI EMBORA,RUBENS TOLEDO,4,C
DOEN AS CURA E SA DE,GEZIEL ANDRADE,3,B
PERFEI  O MORAL,CELESTE SANTOS,1,D
MUITO AL M DOS NEUR NIOS,N BOR O. FACURE,3,E
SA DE DO ESP RITO,ANDR  LUIZ RUIZ,1,C
O ESPIRITISMO EXPLICA,AURELIANO ALVES NETTO,1,B
AS LUZES DE SANTELMO,WILSON FRUNGILO J NIOR,5,A
SINAL DOS TEMPOS,WAGNER GOMES DA PAIX O - JO O L CIO,4,D
CH O DE ESTRELAS,AMILCAR DEL CHIARO FILHO,1,B
OPORTUNIDADES TODO DIA,HERCULINO TOSING,3,B
MOMENTOS DE PAZ,IZOLDINO RESENDE - ERNESTO,3,E
EM CONVERSA COM OS ESP RITOS,IDNEI GOMES RAMOS,3,D
CENAS DA VIDA DE LE N DENIS,LUZIA HELENA MATHIAS ARRUDA,4,B
DO SUIC DIO A VIDA,HUMBERTO PAZIAN,3,C
"TOMBAMENTO REL., HIST., CULT. E PATR. EUR PEDES BARSANULFO",DIRCEU ABDALA,2,B
HERDEIROS DA IMORTALIDADE,RICARDO ORESTE FORNI,4,C
NAS PEGADAS DO NAZARENO,MIGUEL DE JESUS SARDANO,4,A
O C REBRO E A MENTE: UMA CONEX O ESPIRITUAL,N BOR O. FACURE,3,E
QUALIDADE NA PR TICA MEDI NICA,MANOEL PHILOMENO DE MIRANDA,3,A
A OBSESS O E SUAS M SCARAS,MARLENE R.S. NOBRE,4,A
EN GMAS DA PSICOMETRIA,ERNESTO BOZZANO,2,C
NAS TELAS DO INFINITO,YVONNE DO AMARAL PEREIRA,5,B
VIDA O OBRA DE BEZERRA DE MENEZES, SYVIO BRITO SOARES,4,D
CORN LIUS,MARIA GERTRUDES COELHO MALUF,4,A
O ESP RITO E OS PROBLEMAS HUMANOS,DEOLINDO AMORIM,2,A
O C U ENVIOU,GEMA CASASSANTA,3,B
EDUCADORES DO CORA  O,WALTER BARCELOS,5,A
HORIZONTE DA VIDA,JO O NUNES MAIA - MIRAMEZ,3,A
O QUE IMPORTA   O AMOR,MARCELO CEZAR - MARCO AUR LIO,4,A
HIST RIAS ALUCINANTES,MAURO JUDICE,4,B
SEMPRE VIVOS,MAURICIO RORIZ/S RGIO MEIBACH,4,B
O BEM SEMPRE TRIUNFA,VAL RIA SICARE NASCIMENTO,5,A
EDUCA  O SEGUNDO O ESPIRITISMO,DORA INCONTRI,2,B
NO DIV  DE ANAST CIA,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
REFLEX ES SOBRE A VIDA E A MORTE,VERA L CIA REZENDE,5,A
DESEJO DE SER FELIZ,ROBERTO DE CARVALHO,6,D
TEU LAR,CARLOS ANTONIO BACCELLI - IRM O JOS ,1,D
REUNI ES MEDI NICAS,L. PALHANO Jr. ,3,C
DEFINI  ES ESP RITAS,ALLAN KARDEC,1,D
PSICOLOGIA & ESPIRITISMO,CARLOS TOLEDO RIZZINI,1,E
NUNCA PARTIMOS,SHYRLENE SOARES CAMPOS - ESP RITOS DISVERSOS,4,D
PONTO DE ENCONTRO,FRANCISCO C NDIDO XAVIER - JAIR PRESENTE,2,D
O HOMEM DE NAZAR ,MARCOS ANT NIO VIEIRA,4,A
P GINAS DE ESPIRITISMO CRIST O,RODOLFO CALLIGARIS,4,C
PALAVRAS DE CHICO XAVIER,FRANCISCO C NDIDO XAVIER - EMMANUEL,5,C
CURSO APRENDIZES DO EVANGELHO,AUTORES DIVERSOS,5,C
NA ESCOLA DO MESTRE,VIN CIUS (PEDRO DE CAMARGO),5,A
HIST RIAS QUE OS ESP RITOS CONTARAM,HEM NIO C. MIRANDA,3,B
HIPNOTISMO E MEDIUNIDADE,C SAR LOMBROSO,1,D
ILUSTRA  ES DOUTRIN RIAS,JOS  JORGE,3,C
AGENDA CRIST ,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,5,C
KARDEC: A BIOGRAFIA,MARCEL SOUTO MAIOR,4,A
GABI E KARDEC,ROQUE JACINTO,4,C
A MEDIUNIDADE NOSSA DE CADA DIA,CARLOS ANTONIO BACCELLI - ODILON FERNANDES,1,D
VIV NCIA MEDI NICA,MANOEL PHILOMENO DE MIRANDA,4,A
VIVER   A MELHOR OP  O,ANDR  TRIGUEIRO,1,C
TABERN CULO ETERNO,GILSON FREIRE - ADAMASTOR,3,B
ATENDIMENTO FRATERNO,MANOEL PHILOMENO DE MIRANDA,4,A
HIST RIAS PARA AQUECER O CORA  O ,"JACK CANFIELD, MARK VICTOR HANSEN, HEATHER McNAMARA",3,C
MENSSAGEM DO PEQUENO MORTO,FRANCISCO C NDIDO XAVIER - NEIO L CIO,2,E
AMIZADE,FRANCISCO C NDIDO XAVIER - MEIMEI,2,E
LI  ES PARA O AUTOAMOR,WANDERLEY OLIVEIRA,5,A
JUVENTUDE ESP RITA,SYLVIO DIONYSIO SOUZA,4,D
ANTE O VIGOR DO ESPIRITISMO,J. RAUL TEIXEIRA,3,C
VIDAS DITADAS AL M TUMBA,JEANNE D ARC - POR ELA MESMA,3,C
O ESP RITO E SEU PROCESSO DE EVOLU  O,ALZIRA BESSA FRAN A AMUL E LUCIANO S. VARANDA,1,B
LINDOS CASOS DA MEDIUNIDADE DE EUR PEDES,CORINA NOVELINO,1,E
OS ESP RITOS EM NOSSAS VIDAS,ROQUE JACINTO,4,C
MEDIUNIDADE E APOSTOLADO,CARLOS ANTONIO BACCELLI - ODILON FERNANDES,1,D
O DOM DA MEDIUNIDADE,MARLENE NOBRE,3,B
EUR PEDES BARSANULFO: O AP STOLO DA CARIDADE,JORGE RIZZINI,3,C
MEM RIAS DE UM REDIVIVO,CEC LO J CARNEIRO,6,E
CURSO DE EDUCA  O MEDI NICA,FEDERA  O ESP RITA ESTADO DE S O PAULO,5,C
  MELHOR COLHER FLORES,JOS  ANTONIO CASTILHO,3,C
JESUS PERANTE A CRISTANDADE,FREDERICO PEREIRA J NIOR - FRANCISCO LEITE DE BITENCOURT SAMPAIO,2,D
PRECES ESP RITAS,CAIRBAR SCHUTEL,1,D
REFLEXOS PARA HARMONIA,P BLIO CAR SIO DE PAULA,5,C
NINGU M   DE NINGU M,ZIBIA GASPARETTO - LUCIUS,7,B
AS M ES DE CHICO XAVIER,SAULO GOMES (ORGANIZA  O),4,D
ESCUTANDO SENTIMENTOS,WANDERLEY SOARES DE OLIVEIRA,4,E
OBSESS O E CURA,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
NO LIMIAR DO ABISMO,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
FUNDA  O EMMANUEL,CARLOS ANT NIO BACCELLI/INACIO FERREIRA,6,D
DO OUTRO LADO DO ESPELHO,CARLOS ANT NIO BACCELLI,1,D
REFLETINDO A ALMA,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
J IA,FRANCISCO C NDIDO XAVIER - EMMANUEL,5,D
UM CASO DE REENCARNA  O,SHYRLENE SOARES CAMPOS - LUIZ RICARDO JARDIM GUABIROBA,4,D
A VIDA NO OUTRO MUNDO,CAIRBAR SCHUTEL,1,E
PAIN IS DA OBSESS O,DIVALDO FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
CORA  ES RENOVADOS,"FRANCISCO C NDIDO XAVIER, RUBENS SILVIO GERMINHASI - ESP RITOS DIVERSO",2,E
LIBERTA  O DO SOFRIMENTO,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
NAS FRONTEIRAS DA LOUCURA,DIVALDO FRANCO PEREIRA FRANCO,2,A
"A F  RENOVADORA, A CARIDADE REDENTORA",BATUIRA,1,C
ILUMINAR-SE,GILMAR BORGES - JOANNA DE  NGELIS,3,B
FUNDAMENTOS EDUCACIONAIS PARA A ESCOLA DO ESP RITO ,ALZIRA BESSA FRAN A,1,B
O LIVRO DOS ESP RITOS,ALLAN KARDEC,5,E
REVISTA ESP RITA,ALLAN KARDEC,6,C
O EVANGELHO SEGUNDO O ESPIRITISMO,ALLAN KARDEC,7,B
FILOSOFIA ESP RITA,JO O NUNES MAIA - MIRAMEZ,6,C
KARDEC E OS ESP RITOS,GUILLERMO LUIS,6,B
"LIDERAN A, IGUALDADE E HUMANIDADE","JONAS DE ALVES BESSA, JULIANA A. DE ALVES BESSA,JONES A. DA SILVA",6,C
FILOSOFIA ESP RITA DA EDUCA  O,NEY LOBO,6,D
REUNI ES MEDI NICAS,EME,6,C
ANU RIO ESP RITA,IDE,6,C
O NOVO TESTAMENTO,HAROLDO DUTRA DIAS(tradu  o),6,C
PRECES DO NEVANGELHO,ALLAN KARDEC,6,C
ROTEIRO SISTEMATIZADO,F.A.C.,6,C
BIBLIOGRAFIA ESP RITA,G.D.B.E - GRUPO DE DIVULGA  O ESP RITA,7,A
MEDIUNIDADE,THEREZINHA DE OLIVEIRA,6,B
VOC  PODE CURAR SUA VIDA,LONISE L. HAY,6,B
BEZERRA DE MENEZES,FREITAS NOBRE,6,B
INTRODU  O AO ESTUDO DA DOUTRINA ESP RITA,ALLAN KARDEC,6,C
ESTUDO SISTEMATIZADO DA DOUTRINA ESP RITA,FEBE,6,D
A B BLIA SAGRADA,SOCIEDADE B BLICA DO BRASIL,6,C
COL NIA HARMONIA,FELIPE SALOM O,6,D
ENCONTROS COM CHICO XAVIER,C ZAR CARNEIRO DE SOUZA,6,D
ESPIRITISMO 2  S CULO,CARLOS PEPPE,6,D
ESPIRITISMO B SICO,PEDRO FRANCO BARBOSA,6,D
DESOBSESS O,MAUR CIO NEIVA CRISPIM,6,B
CURSO B SICO DE ESPIRITISMO,AUTORES DIVERSOS,6,D
AS VIDAS DE CHICO XAVIER,MARCEL SOUTO MAIOR,6,B
TUDO VALEU A PENA,Z BIA GASPARETTO,6,C
A G NESE,ALLAN KARDEC,7,B
REUNI ES MEDI NICAS,MANOEL PHILOMENO DE MIRANDA,6,D
PARA ENTENDER ALAN KARDEC,DORA INCONTRI,6,D
ORLAS DO ESPIRITISMO,EP DIO ANTONIO MOREIRA,6,D
AFRICANISMO E ESPIRITISMO,DEOLINDO AMORIM,6,D
CORAGEM,FRANCISCO C NDIDO XAVIER,6,D
ANTOLOGIA DO PERISP RITO,JOS  JORGE,6,B
REENCARNA  O NO MUNDO ESPIRITUAL,CARLOS A. BACCELI - IN CIO FERREIRA,6,B
ESCOLA DE LUZ,ROBERTO VIRG LIO,6,B
ROTEIRO DE ESTUDOS DAS OBRAS DE ANDR  LUIZ,EUR PEDES K HL,6,B
UM DI RIO NO TEMPO,ELIANA MACHADO COELHO,6,B
O AMOR JAMAIS ESQUECE,ANDR  LUIZ RUIZ,6,B
POR AMOR IDEAL,CARLOS ANT NIO BACCELLI E INACIO FERREIRA,6,B
ASSIM NA TERRA COMO NO C U,CARLOS ANT NIO BACCELLI/INACIO FERREIRA,6,B
TRIUNFO PESSOAL,DIVALDO FRANCO PEREIRA FRANCO,6,B
DESPERTAR DO ESP RITO,DIVALDO FERREIRA FRANCO,6,B
O ESPIRITISMO PERANTE A CI NCIA,GABRIEL DELANNE,6,B
CHICO CHAVIER,THEREZINHA RADETIC,6,B
CR NICAS DE AL M T MULO,CHICO XAVIER,6,B
O RESGATE DE UMA ALMA,RICHARD SIMONETTI,6,B
NA CASA DE MEU PAI...,CARLOS A. BACCELI - IN CIO FERREIRA,6,B
CONVERSANDO COM ODIVAL FRANCO II,F.E.P.,6,B
CONTATO IMEDIATO,AGNALDO PAVIANI,6,B
VADE MECUM ESP RITA,LUIZ P. GUIMAR ES,6,B
NO  ES B SICAS DE DOUTRINA ESP RITA,S.D.E.,6,B
FALA DR. IN CIO,CARLOS ANT NIO BACCELLI/INACIO FERREIRA,6,B
ENTREGA-TE A DEUS,DIVALDO FRANCO - JOANNA DE  NGELIS,6,B
A VINGAN A DO JUDEU,VERA KRYZHANOVSKAIA,6,B
O PESCADOR DE ALMAS,VALTER TURINI,6,A
UM QUARTO VAZIO,ROBERTO DE CARVALHO,6,A
O JOVEM ESOPIRITA QUER SABER,GRUPO DE ESPERANTO PAC-HORO,6,A
O DIF CIL CAMINHO DAS DROGAS,VERA L CIA MARINZECK DE CARVALHO,6,A
REPRODU  O ASSISTIDA   LUZ DO ESPORITISMO,DURVAL CIAMPONI,6,A
PAI HER I,AM RICO SIM ES,6,A
ESPIRITISMO E ECOLOGIA,ANDR  TRIGUEIRO,6,A
A FOLOSOFIA PENAL DOS ESP RITOS,PROF. FERNANDO ORTIZ,6,A
PAIX O E VINGAN A,ARMANDO FERNANDES DE OLIVEIRA,6,A
NOSSO  LBUM DE LEMBRAN AS,MARIA RODRIGUES SALVADOS,6,A
A VIDA NA VIS O DO ESPIRITISMO,ALEXANDRE CALDINI NETO,6,A
DIVALDO FRANCO,ANA LANDI,6,A
LEIS MORAIS E SA DE MENTAL,S RGIO LUIS DA SILVA,6,A
  HORA DO CULTO,MARCELO OLIVEIRA ORSINI,6,A
CURSO DE DOUTRINA ESP RITA,EDISON LEONIS,6,A
ROSA CRISTO,JO O MAIA NUNES,6,A
REJUBILA-TE EM DEUS,DIVALDO FRANCO ,6,A
AL M DA MORTE,DIVALDO FRANCO PEREIRA FRANCO,6,A
OS EVANGELHOS E O ESPIRITISMO,RAUL TEIXEIRA,6,A
O ESPIRITISMO DO CRISTIANISMO,CAIRBAR SCHUTEL,6,A
O PODER DA VIDA,Z BIA GASPARETTO,6,A
ESTUDE E VIVA,CHICO XAVIER/WALDO VIEIRA,6,A
DOIS GIGANTES DO ESPIRITISMO,CAIRBAR SCHUTEL/YVONE PEREIRA,6,A
OS ESP RITOS COMUNICAM-SE POR GRAVADORES,PETER BANDER,6,A
BARRAB S,J.HERCULANO PIRES,6,A
A GRANJA DO SIL NCIO,PAULO BODIER,6,A
A TRAJET RIA DO ESPIRITISMO,GEZIEL ANDRADE,6,A
O NOVO TESTAMENTO,JO O FERREIRA DE ALMEIDA,6,A
QUEM   O AUTOR?,JORGE DE SOUZA,6,A
PENSAMENTO E VIDA,FRANCISCO C NDIDO XAVIER,6,A
PLENITUDE MEDI NICA,JO O NUNES MAIA,6,A
CURSO PASSE,AUTA DE SOUZA,6,A
A DAMA DA CARIDADE,BENEDITA FERNANDES,6,A
DESPINDO A MORTE,GABRILLE BIONDI,6,A
MINHAS M ES VIVEM EM OUTRO MUNDO,F TIMA MOURA,6,A
ESP RITOS ENTRE N S,JAMES VAN PRAAGH,6,A
REFORMA  NTIMA,FEDERA  O ESP RITA ESTADO DE S O PAULO,6,A
REFORMA  NTIMA SEM MART RIO,WANDERLEY SOARES DE OLIVEIRA,6,A
MENINAS DO BARULHO,LAMARTINE PALHANO,6,A
ATRAVESSANDO A RUA,RICHARD SIMONETTI,6,A
MISS O DO CONSOLADOR,J. MANAHEN/ROQUE JACINTHO,7,A
AN LISES ESP RITAS,DEOLINDO AMORIM,7,A
CIDADE NO AL M,FRANCISCO C NDIDO XAVIER/HEIGORINA CUNHA,7,A
HERCULANUM,SRA. W. KRIJANOWSKY - CONDE J.W.ROCHESTER,6,E
EDUCA  O DO ESP RITO,WALTER OLIVEIRA ALVES,6,E
DESAFIO DA VIDA FAMILIAR,J. RAUL TEIXEIRA - CAMILO,6,E
M E,FRANCISCO C NDIDO XAVIER,6,A
ESPERAN A PARA FAM LIA,WILLIE ELAINE OLIVER,6,A
HERAN AS ETERNAS,ALEXANDRE HEILBUTH,6,A
ESPIRITISMO EDUCA  O,C CERO MARCOS TEIXEIRA,7,A
KARDEC: 200 ANOS,AME,7,A
ORGANIZA  O DE CENTROS ESP RITAS,CAMILO CARVALHO,7,A
MEDIUNIDADE,MARIA APARECIDA MARTINS,7,A
ESPIRITISMO E QUEST O SOCIAL,PROF. RINO CURTI,7,A
ESP RITISMO E EDUCA  O,NEY LOBO,6,A
RELACIONAMENTO ENTRE PAIS E FILHOS,HUMBERTO FERREIRA,6,A
FLUIDOS E PASSES,THEREZINHA OLIVEIRA,6,A
AS DROGAS E SUAS CONSEQU BCIAS,CELSO MARTINS E OUTROS AUTORES,6,A
O TAREFEIRO ESP RITA,C SAR DE BARROS LOBO,6,E
AMAI-VOS E INSTRU -VOS,CARLOS A. BACCELI - IN CIO FERREIRA,6,E
CARMA E EVOLU  O,CARLOS A. BACCELI - IRM O JOS ,6,E
MEDIUNIDADE COM JESUS,ROBERTO L CIO VIEIRA DE SOUZA,6,E
ESTUDOS SOBRE REUNI ES MEDI NICAS,EME,6,E
MANUAL DO EXPOSITOR E DO DIRIGENTE ESP RITA,CELSO MARTINS,6,E
MOMENTO ESP RITA,F.E.B.,6,E
CURSO PREP RATORIO DE ESPIRITISMO,DIVERSOS,6,E
CURSO DE INICIA  O AO ESPIRITISMO,EME,6,E
INFIDELIDADE E PERD O,EUR PEDES KUHL - JOSU ,7,A
A PRESEN A DE DEUS,RICHARD SIMONETTI,7,A
AMOR NEGRO,JOS  ALVES DE SOUZA - SET BAL,7,A
ALGUNS DOS ENSINOS DO MESTRE ,JO O NUNES MAIA - MIRAMEZ,7,A
ALMA CIGANA,SHYRLENE SOARES CAMPOS - CHARLES - ESP RITOS DIVERSOS,7,A
DO ABC AO INFINITO,JOS  N UFEL,7,A
FAM LIA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,7,A
LAR-OFICINA,FRANCISCO C NDIDO XAVIER E DIVERSOS ESP RITOS,7,A
DI RIO DE BEN  OS,FRANCISCO C NDIDO XAVIER - CRISTIANE,7,A
O EVANGELHINHO SEGUNDO ESPIRITISMO,LAURA BERGALLO,7,A
FONTE VIVA,FRANCISCO C NDIDO XAVIER,6,B
GOTAS DE EVANGELHO,ISABEL MARIA DOS SANTOS,6,B
MEDIUNIDADE,EVANGELHO E ESPIRITISMO,7,A
VINHA DE LUZ,FRANCISCO C NDIDO XAVIER,6,B
CURA-TE A TI MESMO,JO O NUNES MAIA,6,B
JESUS O PROFETA DIVINO,PAIVA NETO,7,A
PAI NOSSO,FRANCISCO C NDIDO XAVIER,6,D
JUVENTUDE ESP RITA,SYLVIO DIONYSIO SOUZA,7,A
BASES DO ESPIRITISMO,JARBAS LEONE VARANDA,7,A
H  2000 ANOS,FRANCISCO C NDIDO XAVIER - EMMANUEL,7,A
REN NCIA,FRANCISCO C NDIDO XAVIER - EMMANUEL,7,A
SINAIS DE RUMO,FRANCISCO C NDIDO XAVIER,6,B
O SUIC DIO E A JUSTI A DIVINA,JORGE DE ALMEIDA COUTO,6,B
NOSSO LAR,FRANCISCO C NDIDO XAVIER,6,B
OS MENSAGEIROS,FRANCISCO C NDIDO XAVIER,6,B
COMPENDIO DE ORA  ES,AUTORES DIVERSOS,6,B
OS ESP RITOS E OS HOMENS,COSME MASSI,6,B
ABORTO,ELISEU MOTA J NIOR,6,B
JOVENS APRENDIZES NA ESCOLA DA VIDA ,S NIA LOBATO ,6,E
CURSO B SICO DE ESPIRITISMO,EDITORA ALIAN A,7,A
NAS VORAGENS DO PECADO,YVONE DO AMARAL PEREIRA,7,A
UM NOVO OLHAR SOBRE O EVANGELHO,BEATRIZ P. CARVALHO,7,A
DEPOIS DA MORTE,LE N DENIS,7,A
POR TODA ETERNIDADE,CL UDIA MARUM - ELIAS,7,A
O AMANTE DE LADY CHATTERLEY,D.H. LAWRENCE,7,A
PAULO E ESTEV O,CHICO XAVIER - EMMANUEL,7,B
QUANDO A VIDA ESCOLHE,ZIBIA GASPARETTO - LUCIUS,7,B
"ESTUDANDO ""NOSSO LAR""",CARLOS A. BACCELI - IN CIO FERREIRA,7,B
"EMMANUEL, M DIUM DO CRISTO ",CARLOS A. BACCELI - IN CIO FERREIRA,7,B
A REENCARNA  O DE ALLAN KARDEC,CHICO XAVIER,7,B
A REENCARNA  O DESVENDA TODOS OS MIST RIOS,PAULO FRONTIN WERNEC,7,B
INICIA  O AO ESPIRITISMO,THEREZINHA DE OLIVEIRA,7,B
ESPELHO D  GUA,FRANCISCO DO ESP RITO SANTO NETO - HAMMED ,7,B
A FOR A DA VIDA,ZIBIA GASPARETTO - LUCIUS,7,B
MOMENTOS DE SA DE E DE CONSCI NCIA,DIVALDO FRANCO - JOANNA DE  NGELIS,7,B
CORA  O E VIDA,FRANCISCO C NDIDO XAVIER - MARIA DOLORES,7,B
TUAS PRECES,JAIRO AVELLAR - SCHEILLA,7,B
DIRETRIZES PARA O  XITO,DIVALDO FRANCO - JOANNA DE  NGELIS,7,B
A VIDA AL M DA SEPULTURA,HERC LIO MAES - RAMATIS,7,B
BUSCA E ACHAR S,"FRANCISCO C NDIDO XAVIER - EMMANUEL, ANDR  LUIS",7,B
AT  QUE A VIDA OS SEPARE,M NICA DE CASTRO - LEONEL,7,B
S  O AMOR LIBERTA,"SHYRLENE SOARES CAMPOS - SCHEILLA, JOSEPH GLEBER",7,B
OS ROCHEDOS S O DE AREIA,ANDR  LUIZ RUIZ - LUCIUS,7,B
P TALAS DE GABRIELA,J LIO CARVALHO - P LUX,7,B
O FIO DO DESTINO,ZIBIA GASPARETTO - LUCIUS,7,B
AS DORES DA ALMA,FRANCISCO DO ESP RITO SANTO NETO - HAMMED ,7,B
LIBERTA  O,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,7,C
"AVE, CRISTO",FRANCISCO C NDIDO XAVIER - EMMANUEL,7,B
A VIDA SABE O QUE FAZ,ZIBIA GASPARETTO - LUCIUS,7,B
ETERNAMENTE JUNTOS,NELSON TEXEIRA,7,C
CORAGEM PARA VIVER,MARCELO CEZAR - MARCO AUR LIO,7,C
O PASSE,JACOB MELO,7,C
O DRAMA DE BRETANHA,YVONNE DO AMARAL PEREIRA,7,C
ALGEMAS DOURADAS,MARIA GERTRUDES - J.W.ROC.,7,C
MUITOS S O CHAMADOS,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,7,C
AMA-ME,GESSY CAR SIO DE PAULA,7,C
A CASA DO PENHASCO,VERA L CIA MARINZECK DE CARVALHO - ANTONIO CARLOS,7,C
MULHERES VALENTES,ANITA GODOY - J LIO,7,C
O PRE O DA VINGAN A,WANDA A. CANUTTI - E A DE QUEIROZ,7,C
DESPEDINDO-SE DA TERRA,ANDR  LUIZ RUIZ - LUCIUS,7,C
NA PR XIMA DIMENSS O,CARLOS A. BACCELI - IN CIO FERREIRA,7,C
DUAS VIDAS,ANTONIETA VIEIRA MEYER - VIRG NIA ,7,C
